cross,usability,clutch,start_day,d0_m,d0_f,d7_m,d7_f,d14_m,d14_f,d21_m,d21_f,d28_m,d28_f,d35_m,d35_f,d49_m,d49_f,d56_m,d56_f,d63_m,d63_f,d70_m,d70_f,d77_m,d77_f,d84_m,d84_f,d91_m,d91_f,d98_m,d98_f,d105_m,d105_f,d112_m,d112_f,d119_m,d119_f,d126_m,d126_f,d133_m,d133_f,d140_m,d140_f,d147_m,d147_f,d154_m,d154_f,d161_m,d161_f,d168_m,d168_f,d175_m,d175_f,d182_m,d182_f,d189_m,d189_f,d196_m,d196_f,d203_m,d203_f,d210_m,d210_f,d217_m,d217_f,d224_m,d224_f,d231_m,d231_f
FF1,not_usable,1,54,3,6,3,4,1,3,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FF1,not_usable,2,59,11,8,4,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FF1,not_usable,3,64,1,8,0,4,0,4,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FF2,not_usable,1,45,10,2,10,2,10,2,6,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FF2,not_usable,2,50,20,4,19,4,19,4,15,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FF2,not_usable,3,55,7,1,6,1,2,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FF3,not_usable,1,42,16,15,16,14,15,14,6,8,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FF3,not_usable,2,45,7,45,7,44,5,42,0,38,0,31,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FF3,not_usable,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FF4,not_usable,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FF4,not_usable,2,47,18,11,9,11,9,11,6,7,5,7,1,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FF4,not_usable,3,50,30,30,30,30,30,15,23,2,11,0,3,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FF6,not_usable,1,43,0,5,0,5,0,5,0,5,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FF6,not_usable,2,46,15,10,15,10,1,9,0,8,0,4,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FF6,not_usable,3,51,11,6,10,6,6,5,6,3,4,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FF7,usable,1,39,1,12,1,12,1,11,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FF7,usable,2,43,11,23,11,23,11,23,1,14,0,14,0,7,0,4,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FF7,usable,3,46,15,36,15,36,13,34,13,34,11,34,6,34,5,34,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FF8,,1,49,5,0,5,0,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
