ID,start_day,fe_day,cl1_hatch_day,cl1_num,cl1_fe_day,fe2_day,cl2_hatch_day,cl2_num,cl2_fe_day,fe3_day,cl3_hatch_day,cl3_num,cl3_fe_day,fe4_day,cl4_hatch_day,cl4_num,cl4_fe_day
FF1,15,23,26,18,42,27,31,21,53,33,36,19,55,38,42,12,
FF2,7,13,17,20,37,19,22,27,42,23,27,12,49,,,,
FF3,5,11,14,47,37,14,17,52,38,16,21,44,,,,,
FF4,0,11,15,35,33,15,19,56,39,19,22,62,41,22,26,50,51
FF5,7,13,16,8,34,17,20,9,,,,,,,,,
FF6,5,11,15,31,32,15,18,60,42,18,23,25,41,,,,
FF7,3,8,11,32,35,11,15,48,34,15,18,52,40,18,21,47,
FF8,6,16,21,19,40,24,28,3,,31,35,20,62,42,46,10,
FF9,6,15,18,40,37,21,23,23,44,23,26,49,49,26,30,53,51
FF10,6,14,17,21,38,19,23,25,43,23,26,41,46,26,29,44,52
FF11,6,11,15,26,31,15,19,42,37,19,22,48,41,22,26,42,46
FF13,7,15,19,30,38,19,22,49,37,22,25,43,46,26,30,33,49
FF14,7,14,17,24,33,17,20,41,43,20,24,44,42,24,27,33,
FF15,7,14,17,46,35,17,21,59,44,21,24,49,46,24,28,28,56
FF16,7,20,28,16,49,32,35,24,61,40,44,18,66,47,51,21,72
FF17,37,42,46,19,65,46,49,44,69,,,,,,,,
FF18,39,44,52,48,71,52,56,44,79,56,59,28,80,59,,,
FF19,50,56,60,13,,60,64,26,,64,67,25,86,67,71,32,90
FF20,97,103,107,27,,107,111,35,135,,,,,,,,
FF22,102,109,113,29,,113,116,49,135,116,120,54,144,120,123,,143
FF23,102,107,111,22,,112,,,,,,,,,,,
FF24,102,104,107,31,,108,111,34,,,,,,,,,
FF25,102,104,107,14,,108,,,,,,,,,,,
FF26,96,103,107,27,,108,111,30,133,,,,,,,,
FF27,99,102,106,34,,106,110,20,,110,113,31,,113,116,38,138
FF28,102,104,109,20,,110,113,26,133,114,117,30,136,117,121,14,139
FF29,102,107,110,25,,,,,,,,,,,,,
FF30,100,105,108,24,,108,111,35,135,112,115,28,135,115,118,26,137
FF31,99,105,108,36,,108,111,39,135,111,114,48,135,114,126,17,145
FF32,99,104,107,37,,107,111,57,136,,,,,,,,
FF33,100,106,110,22,,111,,,,,,,,,,,
FF34,99,104,108,35,,108,,,,,,,,,,,
FF35,99,105,108,18,,109,113,22,,113,116,27,136,116,123,52,140
FF40,110,118,121,19,,,,,,,,,,,,,
FF43,110,114,118,32,139,118,122,21,139,124,128,20,144,128,131,6,
FF45,118,133,140,8,158,141,144,22,162,145,,,,,,,
FF46,126,133,137,23,157,138,141,32,161,141,145,37,170,145,147,5,
FF47,128,133,137,13,156,138,141,17,160,142,145,16,,,,,
FF48,146,151,155,15,,,,,,,,,,,,,
FF49,129,140,144,6,,145,148,9,,,,,,,,,
FF50,128,133,137,19,156,137,140,33,161,141,143,34,164,144,147,27,
